Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'170100',1939,8,2.47 
'170100',1939,9,2.94 
'170100',1939,10,5.6 
'170100',1939,11,1.95 
'170100',1939,12,7.29 
'170100',1940,1,2.86 
'170100',1940,2,3.45 
'170100',1940,3,5.37 
'170100',1940,4,8.2 
'170100',1940,5,2.73 
'170100',1940,6,3.62 
'170100',1940,7,2.56 
'170100',1940,8,1.84 
'170100',1940,9,6.77 
'170100',1940,10,0.92 
'170100',1940,11,8.43 
'170100',1940,12,4.91 
'170100',1941,1,3.1 
'170100',1941,2,2.72 
'170100',1941,3,4.03 
'170100',1941,4,0.9 
'170100',1941,5,2.9 
'170100',1941,6,0.95 
'170100',1941,7,3.76 
'170100',1941,8,2.76 
'170100',1941,9,1.59 
'170100',1941,10,4.3 
'170100',1941,11,4.45 
'170100',1941,12,5.2 
'170100',1942,1,4.68 
'170100',1942,2,4.55 
'170100',1942,3,8.22 
'170100',1942,4,3.5 
'170100',1942,5,2.03 
'170100',1942,6,6.6 
'170100',1942,7,3.49 
'170100',1942,8,1.46 
'170100',1942,9,4.07 
'170100',1942,10,4.28 
'170100',1942,11,5.4 
'170100',1942,12,5.33 
'170100',1943,1,2.19 
'170100',1943,2,3.77 
'170100',1943,3,4.48 
'170100',1943,4,3.67 
'170100',1943,5,5.1 
'170100',1943,6,5.02 
'170100',1943,7,4.33 
'170100',1943,8,4.4 
'170100',1943,9,2.86 
'170100',1943,10,9.15 
'170100',1943,11,11.09 
'170100',1943,12,1.67 
'170100',1944,1,2.4 
'170100',1944,2,5.35 
'170100',1944,3,5.45 
'170100',1944,4,3.72 
'170100',1944,5,0.97 
'170100',1944,6,3.72 
'170100',1944,7,3.66 
'170100',1944,8,1 
'170100',1944,9,6.34 
'170100',1944,10,4.75 
'170100',1944,11,8.08 
'170100',1944,12,5.55 
'170100',1945,1,7.11 
'170100',1945,2,5.01 
'170100',1945,3,3.35 
'170100',1945,4,5.94 
'170100',1945,5,8.55 
'170100',1945,6,4.66 
'170100',1945,7,4.02 
'170100',1945,8,1.85 
'170100',1945,9,3.4 
'170100',1945,10,6.68 
'170100',1945,11,7.94 
'170100',1945,12,5.52 
'170100',1946,1,5.28 
'170100',1946,2,4.79 
'170100',1946,3,2.03 
'170100',1946,4,3.98 
'170100',1946,5,3.92 
'170100',1946,6,1.52 
'170100',1946,7,2.95 
'170100',1946,8,4.06 
'170100',1946,9,3.24 
'170100',1946,10,3.08 
'170100',1946,11,4.66 
'170100',1946,12,6.89 
'170100',1947,1,5.51 
'170100',1947,2,5.53 
'170100',1947,3,4.14 
'170100',1947,4,2.17 
'170100',1947,5,6.2 
'170100',1947,6,5.55 
'170100',1947,7,4.92 
'170100',1947,8,0.64 
'170100',1947,9,2.17 
'170100',1947,10,0.28 
'170100',1947,11,7.3 
'170100',1947,12,3.78 
'170100',1948,1,4.92 
'170100',1948,2,2.37 
'170100',1948,3,3.64 
'170100',1948,4,3.66 
'170100',1948,5,8.28 
'170100',1948,6,3.35 
