#Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
#data for Eastport, ME
# http://cdiac.ornl.gov/epubs/ndp/ushcn/ushcn_map_interface.html
State_id  ,YEAR  ,Month  ,PRECIP
'172426',1926,5,1.92 
'172426',1926,6,2.77 
'172426',1926,7,1.15 
'172426',1926,8,1.92 
'172426',1926,9,2.23 
'172426',1926,10,5.69 
'172426',1926,11,3.47 
'172426',1926,12,3.09 
'172426',1927,1,3.15 
'172426',1927,2,2.71 
'172426',1927,3,2.22 
'172426',1927,4,1.19 
'172426',1927,5,2.1 
'172426',1927,6,1.62 
'172426',1927,7,4.5 
'172426',1927,8,6.53 
'172426',1927,9,4.65 
'172426',1927,10,7.05 
'172426',1927,11,5.03 
'172426',1927,12,4.37 
'172426',1928,1,3.18 
'172426',1928,2,1.59 
'172426',1928,3,2.47 
'172426',1928,4,2.14 
'172426',1928,5,2.06 
'172426',1928,6,3.52 
'172426',1928,7,3.2 
'172426',1928,8,3.94 
'172426',1928,9,3.76 
'172426',1928,10,2.66 
'172426',1928,11,1.71 
'172426',1928,12,2.74 
'172426',1929,1,3.58 
'172426',1929,2,2.15 
'172426',1929,3,2.97 
'172426',1929,4,2.69 
'172426',1929,5,3.28 
'172426',1929,6,1.55 
'172426',1929,7,1.48 
'172426',1929,8,2.13 
'172426',1929,9,4.28 
'172426',1929,10,1.67 
'172426',1929,11,2.25 
'172426',1929,12,3.57 
'172426',1930,1,2.14 
'172426',1930,2,4.47 
'172426',1930,3,2.92 
'172426',1930,4,1.49 
'172426',1930,5,1.26 
'172426',1930,6,1.7 
'172426',1930,7,4.67 
'172426',1930,8,2.32 
'172426',1930,9,1.21 
'172426',1930,10,1.24 
'172426',1930,11,1.5 
'172426',1930,12,2.42 
'172426',1931,1,2.9 
'172426',1931,2,2.25 
'172426',1931,3,2.8 
'172426',1931,4,2.31 
'172426',1931,5,2.57 
'172426',1931,6,3.56 
'172426',1931,7,4.82 
'172426',1931,8,4.11 
'172426',1931,9,3.61 
'172426',1931,10,4.64 
'172426',1931,11,0.94 
'172426',1931,12,2.37 
'172426',1932,1,4.16 
'172426',1932,2,2.46 
'172426',1932,3,2.67 
'172426',1932,4,2.49 
'172426',1932,5,2.53 
'172426',1932,6,1.56 
'172426',1932,7,3.64 
'172426',1932,8,2.69 
'172426',1932,9,2.08 
'172426',1932,10,3.61 
'172426',1932,11,1.65 
'172426',1932,12,2.21 
'172426',1933,1,2.51 
'172426',1933,2,2.72 
'172426',1933,3,1.46 
'172426',1933,4,3.29 
'172426',1933,5,3.74 
'172426',1933,6,3.18 
'172426',1933,7,1.3 
'172426',1933,8,4.45 
'172426',1933,9,5.04 
'172426',1933,10,6.02 
'172426',1933,11,3.32 
'172426',1933,12,2.73 
'172426',1934,1,2.94 
'172426',1934,2,2.34 
'172426',1934,3,2.32 
'172426',1934,4,2.61 
'172426',1934,5,1.51 
'172426',1934,6,3.33 
'172426',1934,7,3.5 
'172426',1934,8,2.64 
'172426',1934,9,3.65 
'172426',1934,10,2.64 
'172426',1934,11,3.52 
'172426',1934,12,2.79 
'172426',1935,1,7.32 
'172426',1935,2,2.27 
'172426',1935,3,1.48 
'172426',1935,4,1.87 
'172426',1935,5,1.05 
'172426',1935,6,2.12 
'172426',1935,7,2.38 
'172426',1935,8,2.13 
'172426',1935,9,2.98 
'172426',1935,10,1.04 
'172426',1935,11,4.82 
'172426',1935,12,1.75 
'172426',1936,1,3.24 
'172426',1936,2,1.73 
'172426',1936,3,4.48 
'172426',1936,4,2.64 
'172426',1936,5,2.67 
'172426',1936,6,4.07 
'172426',1936,7,1.08 
'172426',1936,8,2.38 
'172426',1936,9,3.13 
'172426',1936,10,3.32 
'172426',1936,11,2.2 
'172426',1936,12,5.62 
'172426',1937,1,3.05 
'172426',1937,2,0.64 
'172426',1937,3,1.37 
'172426',1937,4,1.75 
'172426',1937,5,2.2 
'172426',1937,6,3.23 
'172426',1937,7,0.75 
'172426',1937,8,1.22 
'172426',1937,9,4.41 
'172426',1937,10,2.78 
'172426',1937,11,2.37 
'172426',1937,12,1.51 
'172426',1938,1,2.07 
'172426',1938,2,1.99 
'172426',1938,3,1.55 
'172426',1938,4,2.29 
'172426',1938,5,2.12 
'172426',1938,6,3.77 
'172426',1938,7,4.7 
'172426',1938,8,2.27 
'172426',1938,9,5.44 
'172426',1938,10,2.08 
'172426',1938,11,2.77 
'172426',1938,12,2.53 
'172426',1939,1,1.57 
'172426',1939,2,3.17 
'172426',1939,3,3.65 
'172426',1939,4,3.95 
'172426',1939,5,1.25 
'172426',1939,6,2.19 
'172426',1939,7,4.01 
'172426',1939,8,0.99 
'172426',1939,9,1.53 
'172426',1939,10,3.96 
'172426',1939,11,2.53 
'172426',1939,12,3.71 
'172426',1940,1,0.56 
'172426',1940,2,1.77 
'172426',1940,3,2.7 
'172426',1940,4,2.35 
'172426',1940,5,1.2 
'172426',1940,6,2.2 
'172426',1940,7,1.67 
